material_id,formula_pretty,volume,density,formation_energy_per_atom,energy_above_hull,band_gap,total_magnetization
mp-1180064,O2,159.2695518855733,1.668092140948953,0.38701357200000003,0.38701357199999903,0.042300000000000004,3.9993086
mp-1244913,C,1190.3531919217505,1.675488983473779,0.9942529476999991,0.9942529476999981,0.10600000000000001,2.0000505
mp-1245006,Ti,1744.3182239748066,4.556796025430404,0.141383983866667,0.141383983866665,0.0,0.0038697999999990004
mp-1244933,Si,1793.7649376717561,2.599954373928591,0.34929145859999905,0.34929145859999905,0.0,1e-07
mp-1094120,Nb,226.83961495276392,8.161255619756384,0.18974828500000201,0.18974828500000002,0.0,0.0001198
mp-1244990,Si,1750.9728471941326,2.6634947554856963,0.36627406769999904,0.36627406770000004,0.0,6e-06
mp-1244953,Al,1768.8252505357063,2.532974864040623,0.09572362819999901,0.09572362820000001,0.0,0.0
mp-1120447,Si,163.06526777122875,2.288019789495501,0.37250966749999903,0.37250966749999903,0.0,0.0
mp-1180008,O2,199.45006150558925,1.59845298088519,0.419853780833333,0.419853780833332,1.277299999999999,0.0
mp-1244964,C,1126.924922787448,1.769792839947614,0.9345966746000001,0.9345966745999991,0.0724,2.0008597
mp-1244987,Zn,1613.043594907879,6.7334943798243945,0.058374756800000004,0.058374756800001,0.0,0.0
mp-1179802,Rb,744.4945979508938,1.525035869723976,0.053649282500000006,0.053649282500000006,0.0,0.005090499999999
mp-1244924,Ti,1762.7067218166078,4.509259680988034,0.183286863166667,0.183286863166667,0.0,1.9910987
mp-1197903,C,1547.5694249833693,1.030996672490697,1.4104997176249991,1.4104997176249991,0.07970000000000001,0.0054643
mp-1244971,Si,1921.0737732472721,2.427656376577443,0.31675151759999903,0.31675151760000003,0.0030999999999990003,0.0
mp-1245190,C,1118.1801735623271,1.783633538371421,1.014946403599999,1.014946403599999,0.0,4.1176063
mp-1245266,Zn,1623.3545311604494,6.690725760909228,0.052315974800000005,0.052315974800000005,0.0,2e-07
mp-1245067,Al,1791.9988140970795,2.500219231866401,0.11430868649999901,0.1143086865,0.0,0.0
mp-1245041,Si,1918.192245426189,2.431303226576872,0.310314400899999,0.310314400899999,0.027599999999999004,0.0
mp-1245170,Ti,1758.642328592391,4.519681018059063,0.169614288666666,0.169614288666666,0.0,0.0044246
mp-1245242,Si,1915.2205726555178,2.435075657647642,0.31691021609999803,0.31691021610000003,0.0,1e-07
mp-1245129,Al,1756.6112751564451,2.550587009119748,0.094750410799999,0.0947504108,0.0,4e-07
mp-1245152,Al,1756.5750181076785,2.550639655181896,0.102081550799999,0.1020815508,0.0,0.0
mp-1245164,Ti,1751.2770859316715,4.538689173715564,0.138331885266666,0.138331885266666,0.006299999999999001,0.0006441999999990001
mp-1245108,Fe,1164.1687065719714,7.965581258140822,0.279455497300001,0.2794554973,0.0,205.3566831
mp-1245093,Zn,1614.9202840891055,6.725669426370674,0.055068915200000006,0.055068915200001005,0.0,0.0
mp-1245184,Zn,1602.1487816925169,6.7792829884687045,0.0488518927,0.0488518927,0.0,0.0
mp-1245307,Al,1766.7561326742637,2.535941330909958,0.10754954109999901,0.1075495411,0.0,0.0
mp-656615,Rb,719.9109333297395,1.577113104032839,0.022942533749999,0.022942533749999,0.0,0.0006242
mp-644693,Si,174.10767849877462,2.142906980650944,0.41511927999999904,0.41511927999999904,0.0,0.0010976
mp-640416,Rb,756.9258424297436,1.499989699184075,0.05672780374999901,0.05672780374999901,0.0,0.0140471
mp-988210,Si,174.1076902939462,2.142906835476681,1.9596229937499992,1.9596229937499992,0.0,0.0020746
mp-1403870,Si,174.1076902939462,2.142906835476681,1.250752009999999,1.250752009999999,0.0,6e-07
mp-1245320,Ti,1754.0009091121908,4.53164095229429,0.155102003566667,0.155102003566666,0.0,0.0153928
mp-632401,B,94.79220891717327,2.272602955970606,0.29153570833333303,0.29153570833333303,0.0,0.0
mp-676011,Si,159.13142937906494,2.344581212497035,0.44703532249999905,0.44703532249999905,0.0,0.000112899999999
mp-1056079,Cu,563.0816222753278,0.187398436304439,1.982934489999999,1.982934489999999,0.0,0.11089979999999901
mp-1191581,W,452.1510274837573,16.878956556983074,1.181116915599996,1.1811169156,0.0,0.0003679
mp-1056831,O2,21.65067829102824,1.227103761931002,1.311098234999999,1.311098234999999,0.0,0.001453399999999
mp-1178801,W,350.4707835877894,17.420767510412237,1.198139206500002,1.198139206500002,0.0,0.0
mp-1182029,C,115.84184934146725,1.377342416990445,1.002409142499999,1.002409142499999,0.0,0.0
mp-43,U,576.770100041064,20.55877917425372,0.08967122466668401,0.089671224666673,0.0,0.000103399999999
mp-567409,Sb,127.39779174731557,6.348217939294897,0.12089456250000101,0.12089456250000101,0.0,0.0008246999999990001
mp-1182070,Bi,141.83413575334302,9.786645986041476,0.058095357499993006,0.058095357499993006,0.0,6.7999999999999976e-06
mp-1179605,Sb,59.808114290190886,6.761197511367673,0.050482344999998006,0.050482344999998006,0.0,0.000295499999999
mp-2647017,C,238.52255326536243,1.672314531438791,0.177572003999999,0.177572003999999,0.244099999999999,0.0
mp-1067758,Bi,140.26823971980178,9.895900013623397,0.08585941499999401,0.08585941499999401,0.0,0.0001712
mp-567379,Bi,140.0493228830796,9.911368700532435,0.062386567499999004,0.062386567499999004,0.0,2.4900000000000006e-05
mp-632286,Sb,60.56536266637659,6.676662298315999,0.05888531,0.05888531,0.0,0.0003521
mp-613989,Pu,267.0152153556446,24.27855846106695,0.008192166249997001,0.008192166249997001,0.0,1.8570459
